[2026-09-02T09:48:15.8049562Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:48:40.3316164Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:49:07.5267056Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:49:32.0525906Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:49:56.6089176Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:50:23.5523078Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:50:48.1475283Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:51:12.7326127Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:51:40.2356069Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:52:04.9060020Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:52:29.5062147Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:53:01.7596725Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:53:26.3746414Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:53:51.0554827Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:54:18.2094101Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:54:42.8906045Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:55:07.4831286Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:55:35.7627610Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:56:00.3830054Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:56:25.0292159Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:56:52.1882856Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:57:16.7983351Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:57:41.3883581Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:58:08.4911715Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:58:33.0783436Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:58:57.7035013Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:59:30.4306400Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:59:55.0114046Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T10:00:19.6743483Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
